ID,location,PropertyType,BHK,price
42908307,Nirman Nagar,residential house,3.0,18000
42895859,Mansarovar Extension,apartment,2.0,12000
27363875,Mansarovar,apartment,3.0,16500
42906475,Sirsi Road,apartment,4.0,25984
42884461,Mansarovar Extension,apartment,3.0,16500
42919505,Patrakar Colony,apartment,2.0,10000
42918009,Mansarovar,apartment,3.0,25000
34245501,Civil Lines,residential house,3.0,15000
42773585,Shyam Nagar,residential house,3.0,25000
22028059,Jagatpura,apartment,3.0,13000
35863617,Gopal Pura By Pass,residential house,4.0,55000
18615587,Mahindra World City,villa,3.0,9000
31830751,Ajmer Road,apartment,3.0,18000
36802279,Ajmer Road,villa,3.0,10000
32011691,Saraswati Nagar,builder floor apartment,3.0,14000
41545817,22 Godam,residential house,4.0,20000
42861997,Gandhi Path,residential house,2.0,11000
42878943,Vaishali Nagar,apartment,2.0,11000
42866899,Pratap Nagar,apartment,1.0,12000
34758469,Ajmer Road,villa,3.0,12000
41805137,Vaishali Nagar,residential house,2.0,14499
41471963,Indira Gandhi Nagar,apartment,3.0,10000
41605719,Sez,apartment,3.0,12000
42791643,Mansarovar,residential house,2.0,18000
39272909,Ajmer Road,villa,3.0,15000
15241454,Bani Park,apartment,3.0,16000
42299481,Tonk Road,apartment,3.0,13500
41158711,Ajmer Road,apartment,3.0,11724
31346471,Ajmer Road,builder floor apartment,3.0,13000
42149505,Jagatpura,villa,3.0,25000
41713777,Jawaharnagar,apartment,2.0,18000
41590829,Sitapura Industrial Area,apartment,2.0,12000
41514677,Indira Gandhi Nagar,apartment,3.0,10000
39272941,Barkat Nagar,residential house,3.0,25000
40133761,Bani Park,apartment,3.0,45000
42766419,Rani Sati Nagar,apartment,3.0,17000
42727203,Gopal Pura By Pass,residential house,3.0,25000
42721059,Swej Farm,apartment,2.0,13000
42627523,Pratap Nagar,residential house,2.0,15000
39272883,Sirsi Road,builder floor apartment,3.0,15000
41636461,Jagatpura,residential house,3.0,15000
42320471,Sikar Road,residential house,3.0,15000
42563885,Jhotwara,apartment,2.0,12000
42624113,Tonk Road,residential house,1.0,20000
42617043,Barmeeji Colony,residential house,2.0,10000
42618563,Jagatpura,apartment,2.0,12000
42289147,Surya Nagar,apartment,2.0,22000
42525409,Tonk Road,residential house,3.0,25000
42540461,Gopal Bari,residential house,2.0,12500
42194401,Ajmer Road,apartment,3.0,16000
42315911,New Sanganare Road,residential house,2.0,13000
41383839,Jhotwara,residential house,4.0,30000
42393585,Ajmer Road,apartment,3.0,15000
42448847,Sanjay Colony,residential house,2.0,10500
42402225,Nh 8,service apartment,10.0,300000
42157763,Sirsi Road,apartment,3.0,16500
42470667,Vishwakarma Industrial Area,residential house,1.0,7000
42419987,Ajmer Road,apartment,2.0,12000
42653711,Khatipura,residential house,2.0,15000
42614021,Gopal Pura By Pass,residential house,3.0,30000
41160965,Jyoti Nagar,apartment,2.0,20000
35038269,Bani Park,apartment,3.0,20000
42154379,Mansarovar,apartment,3.0,25000
41901501,Pratap Nagar,residential house,3.0,16000
42392811,Imli Phatak,apartment,3.0,22000
36695117,Durgapura,residential house,2.0,17000
42276693,Nandpuri,builder floor apartment,3.0,18000
41794323,Maruti Nagar,villa,2.0,15000
41705599,Patrakar Colony,apartment,3.0,20000
34020719,Tonk Road,residential house,1.0,9900
30856963,Ajmer Road,apartment,3.0,15000
36289593,Chitrakoot,residential house,3.0,17000
42421431,Shantinagar,residential house,2.0,15000
